1		0.89936		0.71608		0.86531		0.9016		0.73054		0.59782		0.65436		0.67425		0.73281	
0.89936		1		0.66423		0.84652		0.83117		0.7338		0.64758		0.73979		0.67762		0.75386	
0.71608		0.66423		1		0.6915		0.79155		0.68214		0.6665		0.72986		0.79118		0.77278	
0.86531		0.84652		0.6915		1		0.83274		0.78342		0.60815		0.67196		0.71029		0.63084	
0.9016		0.83117		0.79155		0.83274		1		0.78147		0.69704		0.73047		0.71303		0.70856	
0.73054		0.7338		0.68214		0.78342		0.78147		1		0.74719		0.72371		0.65913		0.73566	
0.59782		0.64758		0.6665		0.60815		0.69704		0.74719		1		0.89738		0.84668		0.81175	
0.65436		0.73979		0.72986		0.67196		0.73047		0.72371		0.89738		1		0.74485		0.81003	
0.67425		0.67762		0.79118		0.71029		0.71303		0.65913		0.84668		0.74485		1		0.80345	
0.73281		0.75386		0.77278		0.63084		0.70856		0.73566		0.81175		0.81003		0.80345		1	
